Model,MSE,RMSE,MAE,Bias,Corr.,RMSE improvement vs interp (%),MAE improvement vs interp (%)
Interpolation,2.4617837840687873,1.5690072606807106,1.1934234837815543,-0.5132625915596906,0.9413672355800161,0.0,0.0
U-Net T only,1.7350485728868,1.317212425118591,1.0093872446190353,0.1004835327109356,0.9534761977353583,16.04803507747178,15.420866244341912
U-Net T+Elev,1.3685103385055104,1.1698334661418737,0.9023760537494958,-0.07809386039251442,0.9634283133345133,25.44116936499428,24.387607080583656
U-Net T+D2M+Elev,1.4916019716121391,1.221311578432031,0.9353621758395281,0.1529207704876516,0.9625365661891274,22.160234115030963,21.62361571135817
U-Net T+Elev+Urban,1.4306242213439015,1.1960870458891784,0.915395078250471,0.14766762269650796,0.9637845868972859,23.767908800482004,23.296709785708725
Transformer T only,1.5759083176683502,1.2553518700620756,0.9578613613067191,0.16867495977836197,0.9589997031782346,19.99069083227545,19.73835153037367
Transformer T+Elev,1.3334560064565966,1.1547536561780598,0.8840362096728769,-0.12080851568761562,0.9654889608229822,26.40227453905648,25.924349429452658
Transformer T+D2M+Elev,1.289403317972767,1.1355189641625396,0.8598359598210004,0.15095344865869184,0.9660994246539228,27.62818932591191,27.952150137311545
Transformer T+Elev+Urban,1.3404038181587705,1.1577581000186397,0.8730047178598157,0.16008579806959833,0.9646909434272946,26.210787608697956,26.848706287096025
